Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2012,Texas,TX,Anderson,48001.0,75.64,republican
2012,Texas,TX,Andrews,48003.0,81.19,republican
2012,Texas,TX,Angelina,48005.0,71.47,republican
2012,Texas,TX,Aransas,48007.0,70.79,republican
2012,Texas,TX,Archer,48009.0,86.46,republican
2012,Texas,TX,Armstrong,48011.0,88.56,republican
2012,Texas,TX,Atascosa,48013.0,58.65,republican
2012,Texas,TX,Austin,48015.0,79.53,republican
2012,Texas,TX,Bailey,48017.0,73.73,republican
2012,Texas,TX,Bandera,48019.0,78.6,republican
2012,Texas,TX,Bastrop,48021.0,57.32,republican
2012,Texas,TX,Baylor,48023.0,81.47,republican
2012,Texas,TX,Bee,48025.0,55.29,republican
2012,Texas,TX,Bell,48027.0,57.51,republican
2012,Texas,TX,Bexar,48029.0,47.04,republican
2012,Texas,TX,Blanco,48031.0,73.16,republican
2012,Texas,TX,Borden,48033.0,89.26,republican
2012,Texas,TX,Bosque,48035.0,80.0,republican
2012,Texas,TX,Bowie,48037.0,70.24,republican
2012,Texas,TX,Brazoria,48039.0,66.39,republican
2012,Texas,TX,Brazos,48041.0,66.49,republican
2012,Texas,TX,Brewster,48043.0,51.1,republican
2012,Texas,TX,Briscoe,48045.0,82.34,republican
2012,Texas,TX,Brooks,48047.0,21.1,republican
2012,Texas,TX,Brown,48049.0,85.29,republican
2012,Texas,TX,Burleson,48051.0,72.35,republican
2012,Texas,TX,Burnet,48053.0,76.46,republican
2012,Texas,TX,Caldwell,48055.0,54.4,republican
2012,Texas,TX,Calhoun,48057.0,62.33,republican
2012,Texas,TX,Callahan,48059.0,84.24,republican
2012,Texas,TX,Cameron,48061.0,33.94,republican
2012,Texas,TX,Camp,48063.0,66.46,republican
2012,Texas,TX,Carson,48065.0,88.23,republican
2012,Texas,TX,Cass,48067.0,74.34,republican
2012,Texas,TX,Castro,48069.0,69.37,republican
2012,Texas,TX,Chambers,48071.0,79.99,republican
2012,Texas,TX,Cherokee,48073.0,75.0,republican
2012,Texas,TX,Childress,48075.0,83.42,republican
2012,Texas,TX,Clay,48077.0,84.36,republican
2012,Texas,TX,Cochran,48079.0,70.77,republican
2012,Texas,TX,Coke,48081.0,86.51,republican
2012,Texas,TX,Coleman,48083.0,86.25,republican
2012,Texas,TX,Collin,48085.0,65.02,republican
2012,Texas,TX,Collingsworth,48087.0,83.65,republican
2012,Texas,TX,Colorado,48089.0,74.24,republican
2012,Texas,TX,Comal,48091.0,76.3,republican
2012,Texas,TX,Comanche,48093.0,80.39,republican
2012,Texas,TX,Concho,48095.0,79.22,republican
2012,Texas,TX,Cooke,48097.0,83.28,republican
2012,Texas,TX,Coryell,48099.0,67.57,republican
2012,Texas,TX,Cottle,48101.0,74.9,republican
2012,Texas,TX,Crane,48103.0,76.77,republican
2012,Texas,TX,Crockett,48105.0,65.68,republican
2012,Texas,TX,Crosby,48107.0,63.35,republican
2012,Texas,TX,Culberson,48109.0,33.56,republican
2012,Texas,TX,Dallam,48111.0,81.36,republican
2012,Texas,TX,Dallas,48113.0,41.66,republican
2012,Texas,TX,Dawson,48115.0,71.14,republican
2012,Texas,TX,Deaf Smith,48117.0,70.6,republican
2012,Texas,TX,Delta,48119.0,75.52,republican
2012,Texas,TX,Denton,48121.0,64.91,republican
2012,Texas,TX,Dewitt,48123.0,77.16,republican
2012,Texas,TX,Dickens,48125.0,77.82,republican
2012,Texas,TX,Dimmit,48127.0,26.12,republican
2012,Texas,TX,Donley,48129.0,83.84,republican
2012,Texas,TX,Duval,48131.0,22.56,republican
2012,Texas,TX,Eastland,48133.0,83.82,republican
2012,Texas,TX,Ector,48135.0,73.85,republican
2012,Texas,TX,Edwards,48137.0,72.62,republican
2012,Texas,TX,Ellis,48139.0,73.08,republican
2012,Texas,TX,El Paso,48141.0,33.15,republican
2012,Texas,TX,Erath,48143.0,82.81,republican
2012,Texas,TX,Falls,48145.0,61.76,republican
2012,Texas,TX,Fannin,48147.0,75.54,republican
2012,Texas,TX,Fayette,48149.0,76.83,republican
2012,Texas,TX,Fisher,48151.0,67.16,republican
2012,Texas,TX,Floyd,48153.0,73.05,republican
2012,Texas,TX,Foard,48155.0,70.3,republican
2012,Texas,TX,Fort Bend,48157.0,52.91,republican
2012,Texas,TX,Franklin,48159.0,80.95,republican
2012,Texas,TX,Freestone,48161.0,74.58,republican
2012,Texas,TX,Frio,48163.0,39.29,republican
2012,Texas,TX,Gaines,48165.0,85.69,republican
2012,Texas,TX,Galveston,48167.0,62.74,republican
2012,Texas,TX,Garza,48169.0,80.96,republican
2012,Texas,TX,Gillespie,48171.0,82.12,republican
2012,Texas,TX,Glasscock,48173.0,91.0,republican
2012,Texas,TX,Goliad,48175.0,66.34,republican
2012,Texas,TX,Gonzales,48177.0,69.61,republican
2012,Texas,TX,Gray,48179.0,87.2,republican
2012,Texas,TX,Grayson,48181.0,73.2,republican
2012,Texas,TX,Gregg,48183.0,69.25,republican
2012,Texas,TX,Grimes,48185.0,71.4,republican
2012,Texas,TX,Guadalupe,48187.0,66.88,republican
2012,Texas,TX,Hale,48189.0,73.3,republican
2012,Texas,TX,Hall,48191.0,75.02,republican
2012,Texas,TX,Hamilton,48193.0,82.15,republican
2012,Texas,TX,Hansford,48195.0,91.13,republican
2012,Texas,TX,Hardeman,48197.0,78.66,republican
2012,Texas,TX,Hardin,48199.0,83.33,republican
2012,Texas,TX,Harris,48201.0,49.31,republican
2012,Texas,TX,Harrison,48203.0,66.92,republican
2012,Texas,TX,Hartley,48205.0,89.28,republican
2012,Texas,TX,Haskell,48207.0,70.74,republican
2012,Texas,TX,Hays,48209.0,53.65,republican
2012,Texas,TX,Hemphill,48211.0,86.02,republican
2012,Texas,TX,Henderson,48213.0,76.85,republican
2012,Texas,TX,Hidalgo,48215.0,28.65,republican
2012,Texas,TX,Hill,48217.0,75.82,republican
2012,Texas,TX,Hockley,48219.0,77.74,republican
2012,Texas,TX,Hood,48221.0,81.69,republican
2012,Texas,TX,Hopkins,48223.0,77.13,republican
2012,Texas,TX,Houston,48225.0,71.59,republican
2012,Texas,TX,Howard,48227.0,74.22,republican
2012,Texas,TX,Hudspeth,48229.0,54.58,republican
2012,Texas,TX,Hunt,48231.0,74.91,republican
2012,Texas,TX,Hutchinson,48233.0,85.82,republican
2012,Texas,TX,Irion,48235.0,84.77,republican
2012,Texas,TX,Jack,48237.0,88.72,republican
2012,Texas,TX,Jackson,48239.0,77.73,republican
2012,Texas,TX,Jasper,48241.0,73.66,republican
2012,Texas,TX,Jeff Davis,48243.0,60.32,republican
2012,Texas,TX,Jefferson,48245.0,48.79,republican
2012,Texas,TX,Jim Hogg,48247.0,21.36,republican
2012,Texas,TX,Jim Wells,48249.0,41.18,republican
2012,Texas,TX,Johnson,48251.0,77.11,republican
2012,Texas,TX,Jones,48253.0,76.56,republican
2012,Texas,TX,Karnes,48255.0,67.5,republican
2012,Texas,TX,Kaufman,48257.0,71.66,republican
2012,Texas,TX,Kendall,48259.0,81.58,republican
2012,Texas,TX,Kenedy,48261.0,50.3,republican
2012,Texas,TX,Kent,48263.0,82.72,republican
2012,Texas,TX,Kerr,48265.0,78.95,republican
2012,Texas,TX,Kimble,48267.0,88.11,republican
2012,Texas,TX,King,48269.0,95.86,republican
2012,Texas,TX,Kinney,48271.0,61.75,republican
2012,Texas,TX,Kleberg,48273.0,45.56,republican
2012,Texas,TX,Knox,48275.0,76.82,republican
2012,Texas,TX,Lamar,48277.0,74.58,republican
2012,Texas,TX,Lamb,48279.0,74.75,republican
2012,Texas,TX,Lampasas,48281.0,78.03,republican
2012,Texas,TX,La Salle,48283.0,40.64,republican
2012,Texas,TX,Lavaca,48285.0,81.94,republican
2012,Texas,TX,Lee,48287.0,72.45,republican
2012,Texas,TX,Leon,48289.0,83.71,republican
2012,Texas,TX,Liberty,48291.0,76.16,republican
2012,Texas,TX,Limestone,48293.0,69.92,republican
2012,Texas,TX,Lipscomb,48295.0,89.38,republican
2012,Texas,TX,Live Oak,48297.0,76.68,republican
2012,Texas,TX,Llano,48299.0,79.62,republican
2012,Texas,TX,Loving,48301.0,84.38,republican
2012,Texas,TX,Lubbock,48303.0,69.61,republican
2012,Texas,TX,Lynn,48305.0,73.46,republican
2012,Texas,TX,McCulloch,48307.0,80.82,republican
2012,Texas,TX,McLennan,48309.0,64.26,republican
2012,Texas,TX,McMullen,48311.0,85.69,republican
2012,Texas,TX,Madison,48313.0,75.17,republican
2012,Texas,TX,Marion,48315.0,63.83,republican
2012,Texas,TX,Martin,48317.0,84.24,republican
2012,Texas,TX,Mason,48319.0,79.52,republican
2012,Texas,TX,Matagorda,48321.0,66.27,republican
2012,Texas,TX,Maverick,48323.0,20.55,republican
2012,Texas,TX,Medina,48325.0,69.03,republican
2012,Texas,TX,Menard,48327.0,78.33,republican
2012,Texas,TX,Midland,48329.0,80.03,republican
2012,Texas,TX,Milam,48331.0,66.6,republican
2012,Texas,TX,Mills,48333.0,85.51,republican
2012,Texas,TX,Mitchell,48335.0,75.82,republican
2012,Texas,TX,Montague,48337.0,84.49,republican
2012,Texas,TX,Montgomery,48339.0,79.7,republican
2012,Texas,TX,Moore,48341.0,79.6,republican
2012,Texas,TX,Morris,48343.0,62.89,republican
2012,Texas,TX,Motley,48345.0,89.67,republican
2012,Texas,TX,Nacogdoches,48347.0,67.42,republican
2012,Texas,TX,Navarro,48349.0,70.6,republican
2012,Texas,TX,Newton,48351.0,70.06,republican
2012,Texas,TX,Nolan,48353.0,71.74,republican
2012,Texas,TX,Nueces,48355.0,50.95,republican
2012,Texas,TX,Ochiltree,48357.0,90.85,republican
2012,Texas,TX,Oldham,48359.0,90.91,republican
2012,Texas,TX,Orange,48361.0,76.56,republican
2012,Texas,TX,Palo Pinto,48363.0,79.18,republican
2012,Texas,TX,Panola,48365.0,77.71,republican
2012,Texas,TX,Parker,48367.0,82.28,republican
2012,Texas,TX,Parmer,48369.0,78.74,republican
2012,Texas,TX,Pecos,48371.0,60.53,republican
2012,Texas,TX,Polk,48373.0,73.54,republican
2012,Texas,TX,Potter,48375.0,71.52,republican
2012,Texas,TX,Presidio,48377.0,27.74,republican
2012,Texas,TX,Rains,48379.0,80.23,republican
2012,Texas,TX,Randall,48381.0,83.4,republican
2012,Texas,TX,Reagan,48383.0,80.19,republican
2012,Texas,TX,Real,48385.0,80.52,republican
2012,Texas,TX,Red River,48387.0,69.94,republican
2012,Texas,TX,Reeves,48389.0,41.29,republican
2012,Texas,TX,Refugio,48391.0,62.12,republican
2012,Texas,TX,Roberts,48393.0,92.13,republican
2012,Texas,TX,Robertson,48395.0,60.64,republican
2012,Texas,TX,Rockwall,48397.0,75.99,republican
2012,Texas,TX,Runnels,48399.0,84.62,republican
2012,Texas,TX,Rusk,48401.0,75.08,republican
2012,Texas,TX,Sabine,48403.0,81.41,republican
2012,Texas,TX,San Augustine,48405.0,66.91,republican
2012,Texas,TX,San Jacinto,48407.0,73.91,republican
2012,Texas,TX,San Patricio,48409.0,59.79,republican
2012,Texas,TX,San Saba,48411.0,84.33,republican
2012,Texas,TX,Schleicher,48413.0,77.38,republican
2012,Texas,TX,Scurry,48415.0,82.04,republican
2012,Texas,TX,Shackelford,48417.0,89.36,republican
2012,Texas,TX,Shelby,48419.0,74.1,republican
2012,Texas,TX,Sherman,48421.0,87.48,republican
2012,Texas,TX,Smith,48423.0,72.02,republican
2012,Texas,TX,Somervell,48425.0,81.15,republican
2012,Texas,TX,Starr,48427.0,13.02,republican
2012,Texas,TX,Stephens,48429.0,84.76,republican
2012,Texas,TX,Sterling,48431.0,92.91,republican
2012,Texas,TX,Stonewall,48433.0,75.11,republican
2012,Texas,TX,Sutton,48435.0,74.55,republican
2012,Texas,TX,Swisher,48437.0,72.91,republican
2012,Texas,TX,Tarrant,48439.0,57.12,republican
2012,Texas,TX,Taylor,48441.0,76.06,republican
2012,Texas,TX,Terrell,48443.0,64.5,republican
2012,Texas,TX,Terry,48445.0,70.15,republican
2012,Texas,TX,Throckmorton,48447.0,86.1,republican
2012,Texas,TX,Titus,48449.0,68.71,republican
2012,Texas,TX,Tom Green,48451.0,73.2,republican
2012,Texas,TX,Travis,48453.0,36.21,republican
2012,Texas,TX,Trinity,48455.0,72.77,republican
2012,Texas,TX,Tyler,48457.0,77.21,republican
2012,Texas,TX,Upshur,48459.0,79.37,republican
2012,Texas,TX,Upton,48461.0,73.31,republican
2012,Texas,TX,Uvalde,48463.0,53.69,republican
2012,Texas,TX,Val Verde,48465.0,46.64,republican
2012,Texas,TX,Van Zandt,48467.0,82.69,republican
2012,Texas,TX,Victoria,48469.0,68.25,republican
2012,Texas,TX,Walker,48471.0,64.97,republican
2012,Texas,TX,Waller,48473.0,58.13,republican
2012,Texas,TX,Ward,48475.0,72.91,republican
2012,Texas,TX,Washington,48477.0,75.41,republican
2012,Texas,TX,Webb,48479.0,22.56,republican
2012,Texas,TX,Wharton,48481.0,69.21,republican
2012,Texas,TX,Wheeler,48483.0,88.25,republican
2012,Texas,TX,Wichita,48485.0,72.68,republican
2012,Texas,TX,Wilbarger,48487.0,74.27,republican
2012,Texas,TX,Willacy,48489.0,27.96,republican
2012,Texas,TX,Williamson,48491.0,59.41,republican
2012,Texas,TX,Wilson,48493.0,71.01,republican
2012,Texas,TX,Winkler,48495.0,76.0,republican
2012,Texas,TX,Wise,48497.0,82.95,republican
2012,Texas,TX,Wood,48499.0,81.63,republican
2012,Texas,TX,Yoakum,48501.0,79.79,republican
2012,Texas,TX,Young,48503.0,85.09,republican
2012,Texas,TX,Zapata,48505.0,28.14,republican
2012,Texas,TX,Zavala,48507.0,15.71,republican
